,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Class,Avg Yield,STD,Num STDs,,,
1354,South Dakota,Watertown,5/3/2001,WL 327,7/15/2004,197,1.52,1169,31,362811.36,1745.55,,1.305264957,13.32894017,1,1.483264563,0.729684108,0.050344302,1.4,1,1.4
1369,South Dakota,Watertown,5/3/2001,WL 327,8/27/2004,240,1.32,1212,43,379484.01,1804.49,,1.695721352,13.74209398,1,1.483264563,0.729684108,-0.223746908,1.244666667,1,1.244666667
1513,South Dakota,Watertown,4/28/2004,6200 HT,6/22/2005,173,2.51,419,0,130014.47,935.81,,1.9165,13.81821429,2,1.483264563,0.729684108,1.40709579,2.426666667,2,2.426666667
1525,South Dakota,Watertown,4/28/2004,6200 HT,7/18/2005,199,1.77,445,26,140536.72,962.79,,2.777331839,14.69908072,1,1.483264563,0.729684108,0.392958314,1.688333333,1,1.688333333
1537,South Dakota,Watertown,4/28/2004,6200 HT,8/22/2005,234,1.08,480,35,153823.48,1042.34,,3.64035343,15.67139293,1,1.483264563,0.729684108,-0.55265636,1.044166667,1,1.044166667
1669,South Dakota,Watertown,4/28/2004,6200 HT,6/8/2006,159,2.19,770,290,233953.05,1438.46,,1.812230869,13.44771725,2,1.483264563,0.729684108,0.968549855,2.0525,2,2.0525
1681,South Dakota,Watertown,4/28/2004,6200 HT,7/8/2006,189,1.32,800,30,245741.55,1491.61,,2.234307116,13.91529338,1,1.483264563,0.729684108,-0.223746908,1.256666667,1,1.256666667
1693,South Dakota,Watertown,4/28/2004,6200 HT,8/11/2006,223,0.81,834,34,259392.68,1528.07,,2.819185629,14.61579641,0,1.483264563,0.729684108,-0.922679493,0.735833333,0,0.735833333
1795,South Dakota,Watertown,4/28/2004,6200 HT,6/5/2007,156,2.12,1132,298,344186.49,2173.55,,1.390052957,13.10703442,2,1.483264563,0.729684108,0.872617931,1.945,2,1.945
1807,South Dakota,Watertown,4/28/2004,6200 HT,7/5/2007,186,1.26,1162,30,356139.49,2207.57,,1.738349097,13.47310404,1,1.483264563,0.729684108,-0.305974271,1.199166667,1,1.199166667
1819,South Dakota,Watertown,4/28/2004,6200 HT,8/7/2007,219,1.31,1195,33,368985.7,2249.56,,2.130510033,13.89122074,1,1.483264563,0.729684108,-0.237451469,1.2875,1,1.2875
1831,South Dakota,Watertown,4/28/2004,6200 HT,9/14/2007,247,0.52,1223,28,378891.28,2326.07,,2.409893791,14.17441993,0,1.483264563,0.729684108,-1.320111748,0.554166667,0,0.554166667
1987,South Dakota,Watertown,5/1/2006,WL 343,6/17/2008,169,1.02,778,0,243110.45,1414.73,,0.658677792,12.62358151,0,1.483264563,0.729684108,-0.634883723,1.095,1,1.095
1999,South Dakota,Watertown,5/1/2006,WL 343,7/22/2008,204,2.07,813,35,257314.59,1480.32,,1.231793612,13.25460688,2,1.483264563,0.729684108,0.804095129,1.806666667,1,1.806666667
2011,South Dakota,Watertown,5/1/2006,WL 343,8/19/2008,232,1.3,841,28,267388.53,1625.87,,1.71435867,13.72896675,1,1.483264563,0.729684108,-0.251156029,1.191666667,1,1.191666667
2073,South Dakota,Watertown,5/1/2006,WL 343,6/12/2009,163,0.96,1137,296,354069.03,2043.2,,0.05026362,12.07913005,0,1.483264563,0.729684108,-0.717111086,0.915833333,0,0.915833333
2085,South Dakota,Watertown,5/1/2006,WL 343,7/15/2009,196,1.28,1170,33,366550.17,2166.38,,0.449726729,12.47458582,1,1.483264563,0.729684108,-0.27856515,1.1325,1,1.1325
2097,South Dakota,Watertown,5/6/2008,Producers A4330,6/12/2009,163,1.76,401,0,126821.09,795.61,,-0.326393035,11.83310945,1,1.483264563,0.729684108,0.379253754,1.463,1,1.463
2107,South Dakota,Watertown,5/6/2008,Producers A4330,7/15/2009,196,1.68,434,33,139302.23,918.79,,0.777517241,12.91632184,1,1.483264563,0.729684108,0.26961727,1.53,1,1.53
2117,South Dakota,Watertown,5/6/2008,Producers A4330,8/10/2009,222,1.39,460,26,149564.18,984.64,,1.416876356,13.56492408,1,1.483264563,0.729684108,-0.127814985,1.13,1,1.13
2238,South Dakota,Watertown,5/6/2008,Rebound 5.0,6/16/2010,167,1.33,770,310,237556.38,1589.38,,0.10843061,11.58494163,1,1.483264563,0.729684108,-0.210042348,1.031,0,1.031
2248,South Dakota,Watertown,5/6/2008,Rebound 5.0,7/15/2010,196,1.26,799,29,249004.2,1695.27,,0.660325,12.152275,1,1.483264563,0.729684108,-0.305974271,1.09,1,1.09
2258,South Dakota,Watertown,5/6/2008,Rebound 5.0,8/12/2010,224,0.8,827,28,259521.12,1754.36,,1.210519324,12.732657,0,1.483264563,0.729684108,-0.936384054,0.686,0,0.686
2350,South Dakota,Watertown,5/6/2008,Rebound 5.0,6/16/2011,167,1,1135,308,348788.37,2345.87,,-0.072033451,11.2912588,0,1.483264563,0.729684108,-0.662292844,1.029,0,1.029
2360,South Dakota,Watertown,5/6/2008,Rebound 5.0,7/2/2011,183,1.06,1151,16,354337.32,2429.23,,0.123576389,11.47539063,1,1.483264563,0.729684108,-0.580065481,0.935,0,0.935
2370,South Dakota,Watertown,5/6/2008,Rebound 5.0,8/22/2011,234,0.73,1202,51,373775.49,2574.97,,0.831113882,12.20718204,0,1.483264563,0.729684108,-1.032315977,0.667,0,0.667
2380,South Dakota,Watertown,5/18/2010,DKA 43-13,6/2/2011,153,2.12,380,0,117081.45,866.38,,0.049291339,11.2583727,2,1.483264563,0.729684108,0.872617931,2.065,2,2.065
2390,South Dakota,Watertown,5/18/2010,DKA 43-13,7/20/2011,201,1.56,428,48,134762.66,1021.92,,1.74967366,12.93895105,1,1.483264563,0.729684108,0.105162544,1.264,1,1.264
2400,South Dakota,Watertown,5/18/2010,DKA 43-13,8/27/2011,239,0.8,466,38,149656.52,1115.28,,2.866488223,14.18235546,0,1.483264563,0.729684108,-0.936384054,0.646,0,0.646
2410,South Dakota,Watertown,5/21/2015,Check (Phirst Extra),5/26/2016,147,2.67,371,0,114947.27,632.26,,2.575967742,13.93206989,2,1.483264563,0.729684108,1.626368758,2.24375,2,2.24375
2418,South Dakota,Watertown,5/21/2015,Check (Phirst Extra),6/28/2016,180,2.79,404,33,128317.2,685.33,,3.476814815,14.98014815,2,1.483264563,0.729684108,1.790823484,2.6325,2,2.6325
2426,South Dakota,Watertown,5/21/2015,Check (Phirst Extra),7/28/2016,210,2.85,434,30,139474.2,765.06,,4.231501155,15.84200924,2,1.483264563,0.729684108,1.873050847,2.795,2,2.795
2434,South Dakota,Watertown,5/21/2015,Check (Phirst Extra),8/25/2016,238,1.63,462,28,149658.53,912.86,,4.93924406,16.56457883,1,1.483264563,0.729684108,0.201094467,1.855,1,1.855
2442,South Dakota,Watertown,5/21/2015,Check (Phirst Extra),5/31/2017,151,2.67,740,278,226789.1,1274.4,,2.21659919,13.60973009,2,1.483264563,0.729684108,1.626368758,2.13375,2,2.13375
2450,South Dakota,Watertown,5/21/2015,Check (Phirst Extra),7/6/2017,187,2.63,776,36,241741.32,1389.41,,2.707297297,14.2043758,2,1.483264563,0.729684108,1.571550516,2.08875,2,2.08875
2458,South Dakota,Watertown,5/21/2015,Check (Phirst Extra),8/7/2017,219,2.41,808,32,253677.06,1480.47,,3.194721879,14.73166873,2,1.483264563,0.729684108,1.270050186,2.00875,2,2.00875
2466,South Dakota,Watertown,5/21/2015,Check (Phirst Extra),9/14/2017,257,2.51,846,38,265871.16,1544.44,,3.591038961,15.16651712,2,1.483264563,0.729684108,1.40709579,2.1125,2,2.1125
