,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
53,822005580,California,East Jennifer,08/09/2012,GA-505,06/19/2013,300,1.39,219,96,894.04,95.7,11.25093903,5.439495358,16.15524937,0.238886942,0,1,98.48810343,,1
54,989187985,South Dakota,South Meredithville,04/14/2016,Saranac AR,08/05/2018,260,0.34,370,31,532.04,107.2,23.30819281,17.706018048,27.9653835,0.330605742,1,0,94.41917972,,0
55,128250377,Indiana,Toddview,08/11/2012,Saranac AR,07/29/2017,163,1.35,304,34,695.37,126.2,19.20389876,13.31479601,24.81955897,0.278588844,0,0,97.04751323,,1
56,79475099,Maryland,Kellyberg,04/04/2015,Caliber,07/18/2016,192,1.99,1367,32,685.13,78.8,23.66643373,18.085211558,28.65214225,0.260160396,0,0,92.55148625,,1
57,402368937,Arkansas,East Jerometown,03/24/2016,Contender,08/10/2018,225,0.61,160,32,673.73,147.7,22.76246827,17.976035428,27.87680494,0.34136648,0,0,92.69138584,,0
58,714999869,Montana,West Anitaton,08/18/2012,GA-505,11/24/2013,160,1.07,1039,34,683.21,124.0,23.12022814,17.254194046,27.11363293,0.281115614,0,0,96.75037992,,1
59,918716873,Indiana,Colemanshire,08/18/2012,Caliber,08/22/2018,224,0.65,1331,34,688.46,109.9,23.33088397,17.897116112,27.60051982,0.283107402,0,0,92.9706275,,0
60,183174891,North Carolina,West Lauraton,04/02/2016,Caliber,06/21/2017,164,2.02,434,29,675.63,170.7,22.67888469,17.3339415,27.12430446,0.268071684,0,0,,,1
61,645871904,Georgia,Lake Danny,04/18/2016,Contender,05/15/2017,191,1.52,587,233,743.94,174.7,25.0278189,7.588826524,19.76064028,0.270961839,0,1,88.28264969,,1
62,138805836,Massachusetts,Johnview,04/07/2016,Caliber,07/30/2017,226,1.06,380,29,656.77,127.6,22.86690853,18.337967753,28.14778935,0.258750129,0,0,95.04209621,,0
63,549555083,North Dakota,Lake Randychester,08/09/2012,Saranac AR,09/06/2016,227,0.91,484,31,694.7,138.2,22.93922093,17.14421065,27.8462028,0.261818569,0,0,89.53471357,,0
64,80714889,Nebraska,East Heather,08/18/2012,Evermore,05/30/2018,122,1.56,2152,30,764.65,130.1,23.25224925,6.700465431,28.46150901,0.335928822,0,0,81.47346288,,1
65,229052851,Pennsylvania,South Angelatown,03/28/2016,Contender,08/12/2017,254,0.82,290,30,662.1,179.4,23.57044874,15.96555117,28.89812513,0.272565078,0,0,94.02214498,,0
66,594233983,South Carolina,Collierville,03/30/2015,Caliber,06/06/2018,193,0.53,210,227,837.98,228.3,23.11240871,17.930810529,28.00576709,0.273636779,0,1,93.21648953,,1
67,977296080,Hawaii,Port Haleyview,08/09/2012,Saranac AR,08/08/2018,163,1.55,1806,34,700.55,103.0,22.81892255,17.838740091,27.93165385,0.271715815,0,0,70.14391422,,0
68,746631224,New Jersey,Jordanfort,03/30/2015,Saranac AR,06/22/2018,228,0.5,1254,33,588.74,118.2,23.45792351,18.122439075,28.69384394,0.251244371,0,0,92.33338134,,0
69,878116171,Vermont,New Sheilaborough,08/10/2012,Caliber,06/19/2016,228,1.75,1376,32,667.65,170.0,23.77540337,19.570382758,29.96326393,0.338096325,0,0,89.98687343,,1
70,323938969,Alabama,North Stephenton,08/18/2012,Caliber,03/10/2014,160,1.66,437,32,689.52,119.3,22.00829879,18.531765884,27.15758377,0.296333146,0,0,94.71738577,,1
71,666466203,Maryland,New Tara,08/09/2012,Ameristand 403T,08/02/2013,227,1.02,841,30,687.97,145.8,22.92903657,18.090269168,27.32713277,0.311152813,0,0,97.08248898,,1
72,573677834,North Dakota,Theresaborough,08/15/2012,Caliber,06/20/2018,222,0.67,2225,33,694.11,235.0,22.8392249,17.822021185,28.29575039,0.349424552,0,0,78.12545484,,0
73,280079251,Kansas,Port Debbie,08/12/2012,Caliber,07/15/2018,225,0.65,468,32,663.61,150.3,23.34000548,18.285951231,28.07515113,0.329421348,0,0,94.10441848,,0
74,564430931,West Virginia,North Kim,08/18/2012,GA-505,08/16/2013,193,1.12,653,32,697.75,224.2,22.83402324,17.850353859,27.77754458,0.320459909,0,0,99.02639378,,1
75,187341261,Washington,West John,08/09/2012,Saranac AR,08/11/2016,194,1.78,1069,34,829.46,104.5,23.13759974,18.035858165,30.45,0.290800286,0,0,,,1
76,536237270,Montana,North Shannon,08/09/2012,4030,05/04/2013,130,1.5,280,218,627.15,133.3,11.88921747,7.434239754,17.14764319,0.350490738,0,1,100.0,,1
77,551308806,Texas,East Annaton,08/09/2012,Evermore,06/29/2013,194,1.43,89,30,632.9,246.5,11.316166,14.9015738,16.7030623,0.318999649,0,1,100.0,,1
78,643655615,New Mexico,North Sabrina,03/22/2015,Saranac AR,07/13/2017,257,0.89,901,37,663.1,158.1,18.38589281,13.552030685,23.98875086,0.331202608,0,0,93.11364299,,1
79,297190738,Michigan,Alexandrachester,08/15/2012,Saranac AR,08/09/2018,260,0.64,731,33,476.88,212.1,22.52492222,17.127379307,26.92776228,0.324417868,0,0,95.68728885,,0
80,494253545,Maryland,New Gerald,03/13/2015,Caliber,08/14/2015,195,1.12,1052,29,628.26,151.3,23.91681569,20.98888889,29.389474,0.333797161,0,0,94.83556705,,1
81,438687200,Oregon,New Jason,08/13/2012,Saranac AR,05/01/2018,192,1.83,145,88,757.14,233.3,22.77381047,18.389148094,27.67763771,0.23185134,0,1,98.90177515,,1
82,311359945,Alabama,Harveyfort,08/09/2012,Caliber,05/29/2016,129,1.77,918,231,795.14,136.4,12.3745039,6.440001427,18.26717895,0.336950433,0,1,90.93834593,,1
83,835176609,Maine,Jacksontown,08/09/2012,CW 065030,02/17/2014,259,1.07,1201,31,589.63,84.0,21.69112874,19.009042326,27.46614197,0.304208485,0,0,100.0,,1
84,726837220,Illinois,Zhangmouth,06/13/2017,Saranac AR,08/03/2018,259,0.62,437,32,476.88,209.8,23.25351008,17.829143149,28.02184504,0.282380021,0,0,98.16411562,,0
85,550865433,Illinois,Stevenview,04/04/2016,Caliber,05/17/2017,159,1.87,463,35,584.08,159.5,17.22552007,11.107776128,23.88532254,0.3435271,0,0,96.48487576,,1
86,435072248,North Carolina,South Jeffstad,08/09/2012,Evermore,10/10/2013,125,1.42,325,217,766.94,101.6,11.7800266,5.840727213,18.17181949,0.377672828,0,1,98.57531812,,1
87,662336435,Indiana,Jacksonchester,03/15/2015,Caliber,07/01/2016,193,0.62,1021,240,766.87,183.0,23.66787315,7.298654364,30.17246927,0.269351566,0,1,95.36504609,,1
88,879368305,Arkansas,New Ryan,03/22/2015,Saranac AR,07/14/2016,261,0.55,135,32,794.61,72.7,22.58950767,17.637300309,27.78095027,0.207035325,0,0,97.05685345,,0
89,578525390,New Mexico,Jerryshire,08/09/2012,Saranac AR,08/13/2016,193,1.64,1202,32,690.68,108.0,23.09512925,17.534382461,28.56226688,0.273418717,0,0,94.32069366,,1
90,932100085,Arizona,Barrettfurt,04/04/2016,Saranac AR,06/06/2018,223,0.67,1335,37,720.52,163.4,23.24759895,18.089710305,29.16753324,0.26099772,0,0,95.0214965,,1
91,83385438,Washington,Lake Adam,04/01/2015,Caliber,08/08/2017,224,0.48,935,31,691.39,160.6,23.17661343,18.855373993,28.24458055,0.315145506,0,0,89.71515255,,0
92,958577304,Alaska,Westview,08/09/2012,Evermore,03/23/2013,129,1.39,351,217,790.9,216.5,10.99539,6.428440742,17.33539555,0.344062703,0,1,100.0,,1
93,280233431,North Carolina,North Angela,03/22/2015,Caliber,06/01/2017,159,1.87,1538,34,693.53,178.3,23.12521547,18.693425267,28.68954185,0.314908789,0,0,93.23419314,,1
94,545402565,Nebraska,Richardsonmouth,08/09/2012,GA-505,09/10/2016,229,0.94,515,36,657.76,116.2,23.17382887,18.292487225,29.89362134,0.270469064,0,0,91.73824478,,0
95,757722886,Arizona,Leeside,08/23/2012,Saranac AR,07/08/2013,295,1.22,89,101,598.68,131.9,11.37361105,7.320998168,16.87005659,0.216753617,0,1,100.0,,0
96,95159700,Oregon,New Stephanietown,08/10/2012,Saranac AR,08/12/2018,223,0.55,2225,35,676.57,86.8,22.76187229,17.803000668,28.11605196,0.326333725,0,0,80.25525237,,0
97,974461946,California,Anthonyhaven,08/09/2012,Caliber,06/14/2017,160,1.67,436,32,704.91,146.3,22.8557745,13.253553387,24.40949849,0.25329938,0,0,89.41717533,,1
98,45178582,Oregon,East Donna,08/15/2012,Saranac AR,08/25/2018,224,0.49,1655,30,605.79,90.4,23.84897829,18.170000528,28.57984192,0.256104588,0,0,70.03008617,,0
99,799112516,California,West Raymondborough,04/04/2016,Saranac AR,07/22/2018,224,2.09,452,35,685.71,102.6,23.27094423,18.365885666,28.45794339,0.287609747,0,0,91.68641375,,1
100,961195072,Illinois,Williamborough,08/18/2012,Saranac AR,07/12/2018,160,0.65,1760,36,671.4,225.2,23.00547487,17.841668068,28.20244935,0.278356509,0,0,79.03332571,,1
101,230945513,Virginia,Lake Deborah,08/15/2012,Evermore,05/11/2015,126,0.5,1003,224,799.45,97.2,11.90727214,6.630792424,19.20875252,0.356572459,0,1,96.96121189,,0
102,973299546,Texas,Sampsonview,08/23/2012,GA-505,02/08/2014,192,1.44,167,31,872.03,262.5,22.18613112,17.354493182,27.02247207,0.304604865,0,0,99.41262515,,1
103,96818975,Wisconsin,Leeburgh,03/29/2016,Caliber,10/20/2013,192,1.08,89,33,579.82,186.5,22.88878475,17.265471199,28.49896441,0.32284746,0,0,96.53987739,,1
104,490097744,Maine,West John,08/10/2012,Radiance HD,12/05/2013,164,1.3,465,33,709.39,128.3,23.37287263,18.252581955,28.19445463,0.332716809,0,0,99.89124063,,1
105,180590662,Maine,Brooksmouth,04/09/2015,Caliber,09/02/2016,194,1.37,1221,34,758.68,164.7,24.01652294,20.738843753,30.45,0.254292131,0,0,93.4722534,,1
106,53063358,Indiana,South Maria,08/09/2012,Arc,11/04/2013,257,1.06,1117,32,696.07,161.3,22.30150403,17.737216405,27.10138842,0.316793878,0,0,97.48476329,,1
107,415568084,Alabama,Munozton,08/14/2012,CW 065030,10/02/2013,162,1.24,502,31,846.31,244.5,22.36455377,18.010018015,27.55387815,0.33541199,0,0,100.0,,1
108,832972648,Colorado,Christopherport,03/27/2016,Caliber,08/07/2016,228,1.01,189,30,586.77,152.9,23.71079251,17.660211998,28.40605362,0.317648783,0,0,97.19903731,,1
109,318872483,Florida,Perezstad,08/19/2012,Caliber,03/19/2014,194,1.18,994,34,685.18,359.8,22.28955907,17.445229578,27.81353374,0.336839457,0,0,95.75281654,,1
110,863122498,Utah,New Valerieshire,04/27/2016,Saranac AR,07/29/2018,194,0.7,876,34,609.57,118.4,23.67659417,17.930274047,27.0066918,0.263296789,0,0,94.2305481,,0
111,157427336,Florida,East Stephaniemouth,08/15/2012,Saranac AR,06/17/2016,163,0.54,1272,37,757.59,80.1,11.68834877,5.446888696,16.6676566,0.282437719,0,0,95.66386467,,1
112,846054131,Arizona,Simmonsmouth,08/09/2012,Saranac AR,08/04/2017,255,0.7,2002,35,692.19,182.1,19.66704256,14.671536579,24.1279252,0.266034275,0,0,92.25430139,,0
113,598224497,Hawaii,Lake Adrienne,08/12/2012,Caliber,06/11/2017,157,1.62,1756,30,673.8,148.9,20.06162839,16.322866133,24.859541,0.325485836,0,0,91.96093115,,1
114,864741178,Utah,Daniellefurt,03/30/2016,Caliber,06/29/2018,192,0.46,378,28,803.6,159.7,23.69341657,19.790060472,29.9034406,0.340907553,0,0,93.42757136,,1
115,317609597,Alabama,Irwinside,08/12/2012,Saranac AR,05/21/2018,128,0.53,1864,31,794.19,236.6,22.98855627,17.78725605,26.97021357,0.353027111,0,0,98.33224282,,1
116,407589230,Virginia,Lake Riley,04/07/2016,Saranac AR,08/16/2018,225,1.16,553,33,695.39,124.9,22.77335444,18.154320819,28.17321055,0.251518274,0,0,94.14232682,,0
117,641635777,Indiana,Jordanview,05/22/2017,Saranac AR,05/14/2018,194,0.68,187,103,799.94,207.9,22.53984987,17.76567937,27.46471916,0.262355801,0,1,88.42649545,,0
118,136834183,Louisiana,Port Lindseyborough,04/19/2016,Caliber,09/13/2018,225,0.6,1366,33,665.49,145.0,22.98035331,17.828124307,27.91511061,0.303377077,0,0,94.58379392,,0
119,966486400,Michigan,Yvonnestad,03/20/2016,Caliber,08/04/2017,193,0.49,89,32,663.53,172.5,22.87138841,17.275903223,27.60988214,0.275604049,0,0,94.15522718,,0
120,330674174,Massachusetts,Masonberg,03/27/2016,Caliber,09/05/2016,226,1.04,328,32,652.58,152.4,23.64751974,18.219803929,28.66729257,0.267066187,0,0,93.28554436,,0
121,671100678,Ohio,Billyberg,03/09/2017,Contender,09/02/2018,259,0.64,328,31,519.23,103.9,22.25980307,18.059236347,27.37755158,0.329035984,1,0,93.8310145,,0
122,649336948,New Mexico,Floresborough,04/09/2016,Contender,07/23/2017,229,0.63,89,34,1003.15,164.0,23.34977072,18.143098709,29.1331866,0.272544176,1,0,94.27938134,,0
123,542641636,Georgia,Ericaside,08/15/2012,Caliber,06/19/2018,226,0.62,1079,29,692.23,78.8,24.00582174,18.829035404,29.34019417,0.264037109,0,0,91.62119232,,1
124,672026991,Massachusetts,Lake Christina,04/12/2015,Caliber,10/30/2015,195,1.83,89,104,1080.92,359.8,23.58863551,18.177182397,28.25254665,0.313177379,1,1,100.0,,0
125,155651548,Connecticut,Lake Summer,08/29/2012,GA-505,05/24/2015,195,1.57,1053,37,855.92,139.5,22.71264581,17.895470818,27.41318659,0.274095061,0,0,97.98780366,,1
126,973965800,New Jersey,Kimberlytown,08/09/2012,Saranac AR,05/23/2017,223,1.59,2019,31,686.18,107.8,23.2909498,17.891687503,27.8212854,0.260710582,0,0,91.4753413,,1
127,7552248,Wisconsin,West Ginachester,08/09/2012,Caliber,07/21/2018,225,0.83,1168,35,706.62,105.3,22.42838579,17.798036583,28.00616941,0.272905657,0,0,95.04434267,,0
128,243694405,Wisconsin,Port Benjaminberg,08/09/2012,Caliber,09/22/2016,260,1.2,1356,31,702.46,169.7,23.31593456,17.68176348,27.2453947,0.331308102,0,0,95.54931374,,1
129,314609089,Washington,Ariasberg,04/30/2016,Contender,07/22/2018,192,1.47,309,32,883.01,125.3,22.43224647,18.853251979,27.51993937,0.265544987,0,0,93.51439931,,1
130,804095428,Rhode Island,Stephenton,04/03/2017,Saranac AR,07/25/2017,261,0.36,158,37,681.18,119.8,18.82862633,12.731334658,24.17577023,0.287678862,0,0,92.12641376,,0
131,675232868,New Hampshire,Roberttown,08/09/2012,Saranac AR,07/07/2018,162,0.57,1604,33,826.86,225.0,23.28604573,18.184951504,27.69541628,0.26866758,0,0,80.05187236,,1
132,388759388,Georgia,Lake Christinemouth,08/19/2012,Saranac AR,07/02/2018,126,1.73,1353,236,793.79,227.2,12.53125207,5.666866027,17.19038815,0.276141464,0,1,93.61293522,,1
133,686524894,Florida,Josephport,08/14/2012,Saranac AR,07/17/2017,193,1.43,354,34,860.3,111.5,23.2976636,17.703056061,27.51231493,0.29672296,0,0,94.35636522,,1
134,122174754,Oregon,Gilbertmouth,08/14/2012,Evermore,07/02/2017,157,1.87,413,33,681.98,121.8,23.12330307,18.114197615,27.55031509,0.267727639,0,0,88.65798707,,1
135,164543375,Connecticut,Walkerchester,08/16/2012,Caliber,07/01/2017,221,0.82,2020,36,682.77,133.6,19.80399304,15.363487546,25.66004888,0.260202724,0,0,85.27610707,,1
136,621108231,Iowa,Vargastown,08/13/2012,Saranac AR,06/17/2018,128,1.87,1246,234,920.03,221.4,12.15086966,5.232653061,17.10251417,0.378285714,0,1,71.52959762,,1
137,976182209,Alaska,East Meghanhaven,04/08/2015,Caliber,08/22/2015,192,1.46,128,100,1031.18,359.8,22.73057688,18.487368369,27.98309177,0.293963434,0,1,100.0,,1
138,251014187,Kentucky,Aaronport,03/21/2016,Contender,07/03/2017,191,0.43,932,31,697.8,175.3,23.18181769,18.603100616,29.23609628,0.311166813,0,0,95.28893895,,1
139,754605605,Wyoming,New Brookechester,04/03/2016,Caliber,08/18/2017,225,1.93,487,32,650.8,148.2,23.68469,20.986727632,29.56155038,0.31555291,0,0,92.29544981,,1
140,414334748,Wisconsin,Lake Hannahborough,08/09/2012,4030,07/04/2016,159,1.83,1055,32,690.05,101.5,20.17477734,15.17507985,25.35229623,0.256413229,0,0,94.22201493,,1
141,713504567,Florida,Hollyhaven,08/09/2012,Caliber,07/09/2015,224,1.55,1117,31,704.08,177.3,23.14236972,19.283569169,28.91637607,0.311878242,0,0,97.64192344,,1
142,530712030,New Hampshire,Johnberg,08/09/2012,Saranac AR,12/05/2013,259,1.0,226,35,588.3,125.4,22.35323383,16.114194797,26.86494527,0.280950992,0,0,98.32451577,,1
143,773020355,Maryland,North Edwardbury,03/23/2016,Caliber,07/19/2018,162,1.33,461,34,718.68,115.1,22.03299877,17.808371492,27.19470079,0.286182242,0,0,93.41842052,,1
144,350066163,California,Robinsonport,03/29/2016,Caliber,08/11/2018,187,1.18,521,28,717.83,165.1,23.40824004,18.306223054,27.50576847,0.262684049,0,0,94.45924187,,1
145,127434484,Wyoming,West Jenniferstad,08/10/2012,Saranac AR,08/04/2015,164,1.82,1198,36,680.76,111.0,19.68525575,13.939153101,23.93452829,0.249613677,0,0,98.59405464,,1
