Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C)
0.8,285497.24,1966.28,16.88673034,4.743483146
0.8,285497.24,1966.28,16.88673034,4.743483146
0.69,285497.24,1966.28,16.88673034,4.743483146
0.62,285497.24,1966.28,16.88673034,4.743483146
0.68,285497.24,1966.28,16.88673034,4.743483146
0.66,285497.24,1966.28,16.88673034,4.743483146
0.7,285497.24,1966.28,16.88673034,4.743483146
0.66,285497.24,1966.28,16.88673034,4.743483146
0.73,285497.24,1966.28,16.88673034,4.743483146
0.8,285497.24,1966.28,16.88673034,4.743483146
0.82,285497.24,1966.28,16.88673034,4.743483146
0.83,285497.24,1966.28,16.88673034,4.743483146
0.69,285497.24,1966.28,16.88673034,4.743483146
0.78,285497.24,1966.28,16.88673034,4.743483146
0.72,285497.24,1966.28,16.88673034,4.743483146
0.83,370757.16,1876.98,15.33130584,1.986993127
1.02,370757.16,1876.98,15.33130584,1.986993127
1.04,370757.16,1876.98,15.33130584,1.986993127
0.99,370757.16,1876.98,15.33130584,1.986993127
1.13,370757.16,1876.98,15.33130584,1.986993127
1.14,370757.16,1876.98,15.33130584,1.986993127
1,370757.16,1876.98,15.33130584,1.986993127
0.99,370757.16,1876.98,15.33130584,1.986993127
0.91,370757.16,1876.98,15.33130584,1.986993127
1.27,370757.16,1876.98,15.33130584,1.986993127
1.05,370757.16,1876.98,15.33130584,1.986993127
1.15,370757.16,1876.98,15.33130584,1.986993127
1.13,370757.16,1876.98,15.33130584,1.986993127
1.37,370757.16,1876.98,15.33130584,1.986993127
1.1,370757.16,1876.98,15.33130584,1.986993127
1.29,370757.16,1876.98,15.33130584,1.986993127
1.28,370757.16,1876.98,15.33130584,1.986993127
1.36,370757.16,1876.98,15.33130584,1.986993127
0.92,272117.2,1539.15,14.09200935,2.00963785
0.9,272117.2,1539.15,14.09200935,2.00963785
0.86,272117.2,1539.15,14.09200935,2.00963785
0.8,272117.2,1539.15,14.09200935,2.00963785
0.89,272117.2,1539.15,14.09200935,2.00963785
0.86,272117.2,1539.15,14.09200935,2.00963785
0.9,272117.2,1539.15,14.09200935,2.00963785
0.83,272117.2,1539.15,14.09200935,2.00963785
0.92,272117.2,1539.15,14.09200935,2.00963785
1,272117.2,1539.15,14.09200935,2.00963785
0.97,272117.2,1539.15,14.09200935,2.00963785
0.9,272117.2,1539.15,14.09200935,2.00963785
0.96,272117.2,1539.15,14.09200935,2.00963785
0.96,272117.2,1539.15,14.09200935,2.00963785
0.94,272117.2,1539.15,14.09200935,2.00963785
0.98,272117.2,1539.15,14.09200935,2.00963785
0.93,272117.2,1539.15,14.09200935,2.00963785
0.93,272117.2,1539.15,14.09200935,2.00963785
0.98,272117.2,1539.15,14.09200935,2.00963785
0.89,272117.2,1539.15,14.09200935,2.00963785
0.96,272117.2,1539.15,14.09200935,2.00963785
0.97,272117.2,1539.15,14.09200935,2.00963785
0.89,272117.2,1539.15,14.09200935,2.00963785
0.88,272117.2,1539.15,14.09200935,2.00963785
0.87,272117.2,1539.15,14.09200935,2.00963785
0.87,272117.2,1539.15,14.09200935,2.00963785
1.01,272117.2,1539.15,14.09200935,2.00963785
0.81,170701.59,1159.48,16.96141748,4.738718447
0.71,170701.59,1159.48,16.96141748,4.738718447
0.6,170701.59,1159.48,16.96141748,4.738718447
0.85,170701.59,1159.48,16.96141748,4.738718447
0.7,170701.59,1159.48,16.96141748,4.738718447
0.84,170701.59,1159.48,16.96141748,4.738718447
0.81,170701.59,1159.48,16.96141748,4.738718447
0.83,170701.59,1159.48,16.96141748,4.738718447
0.96,170701.59,1159.48,16.96141748,4.738718447
0.89,170701.59,1159.48,16.96141748,4.738718447
0.77,170701.59,1159.48,16.96141748,4.738718447
0.84,170701.59,1159.48,16.96141748,4.738718447
1.03,170701.59,1159.48,16.96141748,4.738718447
0.89,170701.59,1159.48,16.96141748,4.738718447
1.1,170701.59,1159.48,16.96141748,4.738718447
0.94,170701.59,1159.48,16.96141748,4.738718447
0.95,170701.59,1159.48,16.96141748,4.738718447
1.22,170701.59,1159.48,16.96141748,4.738718447
1.07,170701.59,1159.48,16.96141748,4.738718447
1.03,170701.59,1159.48,16.96141748,4.738718447
1.07,170701.59,1159.48,16.96141748,4.738718447
0.99,170701.59,1159.48,16.96141748,4.738718447
0.99,170701.59,1159.48,16.96141748,4.738718447
1.16,170701.59,1159.48,16.96141748,4.738718447
1.13,170701.59,1159.48,16.96141748,4.738718447
0.53,248458.22,1267.22,13.61200753,1.631794228
0.5,248458.22,1267.22,13.61200753,1.631794228
0.46,248458.22,1267.22,13.61200753,1.631794228
0.5,248458.22,1267.22,13.61200753,1.631794228
0.54,248458.22,1267.22,13.61200753,1.631794228
0.52,248458.22,1267.22,13.61200753,1.631794228
0.44,248458.22,1267.22,13.61200753,1.631794228
0.47,248458.22,1267.22,13.61200753,1.631794228
0.51,248458.22,1267.22,13.61200753,1.631794228
0.45,248458.22,1267.22,13.61200753,1.631794228
0.38,248458.22,1267.22,13.61200753,1.631794228
0.41,248458.22,1267.22,13.61200753,1.631794228
0.52,248458.22,1267.22,13.61200753,1.631794228
0.58,248458.22,1267.22,13.61200753,1.631794228
0.57,248458.22,1267.22,13.61200753,1.631794228
0.93,391460.5,2439.24,15.9217199,3.13047502
0.72,391460.5,2439.24,15.9217199,3.13047502
0.88,391460.5,2439.24,15.9217199,3.13047502
0.65,391460.5,2439.24,15.9217199,3.13047502
0.62,391460.5,2439.24,15.9217199,3.13047502
0.62,391460.5,2439.24,15.9217199,3.13047502
0.63,391460.5,2439.24,15.9217199,3.13047502
0.61,391460.5,2439.24,15.9217199,3.13047502
0.68,391460.5,2439.24,15.9217199,3.13047502
0.57,391460.5,2439.24,15.9217199,3.13047502
0.59,391460.5,2439.24,15.9217199,3.13047502
0.45,391460.5,2439.24,15.9217199,3.13047502
0.42,391460.5,2439.24,15.9217199,3.13047502
0.37,391460.5,2439.24,15.9217199,3.13047502
0.42,391460.5,2439.24,15.9217199,3.13047502
0.61,391460.5,2439.24,15.9217199,3.13047502
0.74,391460.5,2439.24,15.9217199,3.13047502
0.63,391460.5,2439.24,15.9217199,3.13047502
0.67,391460.5,2439.24,15.9217199,3.13047502
0.72,391460.5,2439.24,15.9217199,3.13047502
0.71,391460.5,2439.24,15.9217199,3.13047502
0.55,391460.5,2439.24,15.9217199,3.13047502
0.56,391460.5,2439.24,15.9217199,3.13047502
0.58,391460.5,2439.24,15.9217199,3.13047502
0.51,391460.5,2439.24,15.9217199,3.13047502
0.42,391460.5,2439.24,15.9217199,3.13047502
